Produit;valeur energetique KJ);quantité d’acides gras satures (g);quantite de sucres (g);quantite de Sodium (mg/g);quantite de proteines (g);quantite de Fibres (g);teneur en Fruits/Legumes/Fruits a coques;Score issue de nutri Score;label nutri Score;Green label;green score;Bio or no;Nombre d'aditif;URL
Anglesey sea salt crisps – Pipers – 150 g;2223;3.3;0.5;3.76;5.1;3.5;0.0;12.0;d;a;78.0;Non;0;https://world.openfoodfacts.org/product/5033060100040/anglesey-sea-salt-crisps-pipers
céréales Chocapic – Nestlé – 30 g;1612;2.0;22.4;0.8799999999999999;8.8;7.5;0.0;7.0;c;d;30.0;Non;1;https://world.openfoodfacts.org/product/7613036501378/cereales-chocapic-nestle
Céréales Muesli croustillant au chocolat noir 500G – U,U Bio – 500 g;1662;2.6;19.0;0.6;9.0;8.1;0.0;6.0;c;a;82.0;Oui;1;https://world.openfoodfacts.org/product/3256228686558/cereales-muesli-croustillant-au-chocolat-noir-500g-u
Barres de céréales fraises et framboises x 6 – Crownfield – 124,8 g;1553;0.7;28.0;1.7000000000000002;5.0;4.0;0.0;13.0;d;c;54.0;Non;3;https://world.openfoodfacts.org/product/4056489627173/barres-de-cereales-fraises-et-framboises-x-6-crownfield
Muesli crunchy – MUESLI CRUNCHY – 450 g;1916;5.5;22.0;0.56;9.1;6.4;0.0;12.0;d;b;67.0;Non;2;https://world.openfoodfacts.org/product/3580281080108/muesli-crunchy
Petits pains grillés au froment – Maître Jean Pierre – 225 g;1719;0.7;8.6;4.0;9.5;3.5;1.875;10.0;c;a;91.0;Non;1;https://world.openfoodfacts.org/product/4056489039532/petits-pains-grilles-au-froment-maitre-jean-pierre
Crousti' Avoine nature – Bjorg – 500 g;1666;2.0;13.0;0.35;10.0;9.4;0.0;-1.0;a;c;50.0;Oui;1;https://world.openfoodfacts.org/product/3229820800738/crousti-avoine-nature-bjorg
Burgers nature géant sans additifs – Jacquet – 350 g;1161;0.5;5.4;4.0;9.7;3.8;3.75;3.0;c;a;82.0;Non;0;https://world.openfoodfacts.org/product/3029330072683/burgers-nature-geant-sans-additifs-jacquet
Croustillant chocolat – Bjorg – 900 g;1817;3.8;14.0;1.12;9.8;9.8;0.3125;7.0;c;c;50.0;Oui;2;https://world.openfoodfacts.org/product/3229820802138/croustillant-chocolat-bjorg
Grilletine Briochée x18 – Brioche Pasquier – 255 g;1926;8.6;9.4;4.8;14.0;3.3;0.0;19.0;e;b;64.0;Non;1;https://world.openfoodfacts.org/product/3182180000692/grilletine-briochee-x18-brioche-pasquier
Biscottes 6 cereales – Marque Repère, Épi d'Or – 300 g;1705;0.9;5.6;6.0;12.0;6.0;0.0;10.0;c;a;80.0;Non;1;https://world.openfoodfacts.org/product/3564700253434/biscottes-6-cereales-marque-repere
HERTA Pâte à Pizza Fine et Ronde 265g – Herta – 265 g;1214;0.5;2.9;5.972;8.7;1.0;11.684;7.0;c;a;92.0;Non;0;https://world.openfoodfacts.org/product/7613035648494/herta-pate-a-pizza-fine-et-ronde-265g
Piquitos San Roque Salvado – Piquitos San Roque;1583;1.2;2.4;9.6;11.5;5.7;0.0;13.0;d;b;74.0;Non;2;https://world.openfoodfacts.org/product/8437006994002/piquitos-con-salvado-piquitos-san-roque
Quinoa croquant, amandes et noisettes – Pierre Martinet – 220g;908;0.9;4.5;2.72;7.2;4.5;68.4105027548209;-1.0;b;e;21.0;Non;0;https://world.openfoodfacts.org/product/3281780893465/quinoa-croquant-amandes-et-noisettes-pierre-martinet
6 Wholemeal Pittas – Asda – 6, 360g;1016;0.2;2.8;2.3200000000000003;10.0;9.7;0.0;-4.0;a;a;80.0;Non;1;https://world.openfoodfacts.org/product/5054070479155/6-wholemeal-pittas-asda
Riz Complet – Carrefour – 500 g;1488;0.7;0.5;0.04;7.9;3.9;0.0;-1.0;b;e;26.0;Non;0;https://world.openfoodfacts.org/product/3560070510771/riz-complet-carrefour
Gnocchi – HACENDADO – 500 g;739;0.2;0.2;3.4799999999999995;4.5;0.0;0.0;5.0;c;a;82.0;Non;3;https://world.openfoodfacts.org/product/8015057003760/gnocchi-hacendado
Pâtes spaghettoni n°7 500g – 166, 43122 Parma - Italy, Barilla, Barilla - Barilla G. e R. Fratelli - Società per Azioni - Via Mantova, 166 Barilla – 500 g;1521;0.5;3.5;0.04;13.0;3.0;0.0;0.0;a;b;60.0;Non;0;https://world.openfoodfacts.org/product/8076808150072/spaghettoni-n-7-166
GRAN CEREALE Croccante – Gran cereale – 230 g.;1857;1.5;18.0;2.84;7.6;9.2;0.0;9.0;c;c;57.0;Non;2;https://world.openfoodfacts.org/product/8076809517300/croccante-con-riso-gran-cereale
Muesli Crunchy 4 noix – muesly – 450;1921;1.8;18.0;0.24;10.0;6.1;11.0;8.0;c;b;67.0;Non;1;https://world.openfoodfacts.org/product/3580281080115/muesli-crunchy-4-noix-muesly
Gerblé - Organic Muesli Fig Apricot Spelt Cookie, 132g (4.7oz) – Gerblé Bio – 132g;1895;1.7;16.0;1.44;7.6;8.2;10.2;6.0;c;b;70.0;Oui;2;https://world.openfoodfacts.org/product/3175681272927/gerble-organic-muesli-fig-apricot-spelt-cookie-132g-4-7oz-gerble-bio
Tartines croquantes – Aldi, Simplement Bon et Bio – 200 g;1922;2.5;2.3;7.6;15.0;9.3;0.0;11.0;d;a;95.0;Oui;0;https://world.openfoodfacts.org/product/2006050102860/tartines-croquantes-emmental-graines-de-courges-aldi
Barre granola goût chocolat et enrobage crème de cacao – Vitalia – 3 x 23 g;1995;9.8;0.9;0.8;8.4;3.5;13.6428571428571;13.0;d;d;42.0;Non;6;https://world.openfoodfacts.org/product/8719979202521/no-sugar-added-granola-bar-vitalia
Gnocchi a poeler extra fromage 285g – Lustucru,Lustucru selection – 285 g;965;3.0;2.1;5.2;8.3;1.8;4.3;7.0;c;a;82.0;Non;0;https://world.openfoodfacts.org/product/3240931547138/gnocchi-a-poeler-extra-fromage-lustucru
Biscottes sans sel x 34 – Marque Repère, Epi d'Or – 300 g;1694;0.6;7.3;0.0;11.9;3.9;0.0;2.0;b;a;80.0;Non;1;https://world.openfoodfacts.org/product/3564700009666/biscottes-sans-sel-x-34-marque-repere
Pains grillés  Blé complet – Marque Repère, Epi d'Or – 500 g;1635;0.5;4.4;6.4;11.0;6.8;0.0;8.0;c;a;75.0;Non;1;https://world.openfoodfacts.org/product/3564700582596/pains-grilles-ble-complet-marque-repere
Tartines craquantes Multicéréales – JARDIN BIO ETIC, Jardin bio – 150 g;1603;0.5;0.6;2.0;9.6;4.7;0.0;1.0;b;a;95.0;Oui;0;https://world.openfoodfacts.org/product/3760020508371/tartines-craquantes-multicereales-jardin-bio-etic
Coco pops – Kellogg's – 330 g;1636;0.9;17.0;2.6;6.3;3.8;0.0;10.0;c;e;25.0;Non;0;https://world.openfoodfacts.org/product/5053827175654/coco-pops-kellogg-s
Pain de mie 7 céréales et graines – Mannapain – 550 g;1179;0.8;6.7;4.0;8.7;5.3;0.0;2.0;b;a;75.0;Non;2;https://world.openfoodfacts.org/product/26071510/pain-de-mie-7-cereales-et-graines-mannapain
Panzani spaghetti 500g – Ebro Foods, Panzani – 500 g;1531;0.4;3.7;0.0;12.0;3.6;0.0;0.0;a;b;73.0;Non;0;https://world.openfoodfacts.org/product/3038350015006/panzani-spaghetti-500g-ebro-foods
Cracotte framboise – Lu – 200 g;1585;2.3;33.0;0.96;5.0;1.8;5.5;16.0;d;b;64.0;Non;7;https://world.openfoodfacts.org/product/3041090061639/cracotte-framboise-lu
Biscuits Farine de Blé et Graines de Sésame – Bjorg – 184 g;2028;2.6;20.0;2.8000000000000003;9.4;4.6;0.0;14.0;d;b;74.0;Oui;4;https://world.openfoodfacts.org/product/3229820181738/biscuits-farine-de-ble-et-graines-de-sesame-bjorg
Pain de mie complet Grandes Tranches – Auchan – 0.825 kg;1090;0.7;5.8;4.4;9.2;6.4;9.75;2.0;b;b;74.0;Non;3;https://world.openfoodfacts.org/product/3596710497720/pain-de-mie-complet-grandes-tranches-auchan
Pain grillé au blé complet – Carrefour Original – 500 g;1642;0.5;4.4;6.4;11.0;6.8;0.0;8.0;c;a;76.0;Non;1;https://world.openfoodfacts.org/product/3560070737079/pain-grille-carrefour-original
Céréales Extra Pepites Kellogg's Choco Noisettes – Kellogg's, Extra, pépites – 800 g;2076;12.0;21.0;2.52;8.0;5.8;3.0;22.0;e;d;30.0;Non;1;https://world.openfoodfacts.org/product/5050083712296/cereales-extra-pepites-kellogg-s-choco-noisettes
Crosta & Mollica Black Olive Grissini Breadsticks – Crosta & Mollica – 140g;1751;1.7;2.1;6.4;9.6;3.2;16.0;12.0;d;a;85.0;Non;0;https://world.openfoodfacts.org/product/5060198640018/mollica-black-olive-grissini-crosta-mollica
Tartine p,tit dej – Jacquet – 410 g;1210;0.6;9.8;4.4;9.0;5.3;6.53181818181818;4.0;c;a;75.0;Non;0;https://world.openfoodfacts.org/product/3029330069904/tartine-p-tit-dej-jacquet
Pain de mie complet – Carrefour BIO, Carrefour – 500 g;1156;0.4;6.1;4.8;7.9;4.7;4.5;4.0;c;a;94.0;Oui;0;https://world.openfoodfacts.org/product/3560071232719/pain-de-mie-complet-carrefour-bio
Boulgour tradition – Tipiak – 450 g;1474;0.4;2.4;0.0;14.0;11.0;0.0;-6.0;a;a;89.0;Non;0;https://world.openfoodfacts.org/product/3600900021883/boulgour-tradition-tipiak
Copos tostados de trigo integral y arroz con chocolate – Hacendado – 425 g;1674;3.9;20.0;1.16;8.6;9.1;0.0;8.0;c;e;25.0;Non;1;https://world.openfoodfacts.org/product/8402001015120/copos-tostados-de-trigo-integral-y-arroz-con-chocolate-hacendado
Petits pains grillés au blé complet 400g – U – 400 g;1717;0.9;4.2;4.0;10.0;6.9;14.6575;2.0;b;a;79.0;Non;1;https://world.openfoodfacts.org/product/3256221094428/petits-pains-grilles-au-ble-complet-400g-u
Muffins complets – EPI D'OR – 250 g (x4);882;0.3;6.0;3.6;12.4;6.8;0.0;-2.0;a;a;80.0;Non;2;https://world.openfoodfacts.org/product/3564700462874/muffins-complet-epi-d-or
Country Crisp 4 Noix – Jordans – 850 g;1949;2.6;18.0;0.12;11.0;6.1;15.125;9.0;c;e;29.0;Non;0;https://world.openfoodfacts.org/product/5010477348555/country-crisp-4-noix-jordans
NESTLE NESQUIK BIO Céréales 375g – Nestlé, Nesquik, Nesquik bio – 375 g;1582;0.7;22.3;1.7999999999999998;9.1;8.7;0.0;7.0;c;c;53.0;Oui;0;https://world.openfoodfacts.org/product/7613036668910/nestle-nesquik-bio-cereales-375g
Cruesli miel et noisettes – Cruesli, QUAKER – 450 g;1922;1.8;15.0;0.24;7.5;9.4;5.0;2.0;b;e;25.0;Non;1;https://world.openfoodfacts.org/product/3168930158158/cruesli-miel-et-noisettes
Bebida Choco Avena – Hacendado – 1 litro;185;0.3;2.4;0.6;1.2;1.0;0.65;9.0;d;c;52.0;Non;4;https://world.openfoodfacts.org/product/8402001014369/avena-choco-hacendado
Kellogg's Tresor – Kellogg's – 620g;1838;3.5;26.0;4.4;7.0;3.5;2.58333333333333;19.0;e;d;35.0;Non;5;https://world.openfoodfacts.org/product/5053827156189/kellogg-s-tresor
integral – Dulcesol – 460 g;1050;0.69;4.14;4.83;10.0;5.86;0.0;3.0;c;a;75.0;Non;5;https://world.openfoodfacts.org/product/8410087414874/integral-dulcesol
Linguine- Pâtes alimentaires de semoule et de blé dur 500G – Barilla – 500 g;1466;0.5;3.5;0.04;13.0;8.0;0.0;-5.0;a;a;76.0;Non;0;https://world.openfoodfacts.org/product/8076809578363/linguine-pates-alimentaires-de-semoule-et-de-ble-dur-500g-barilla
Belvita petit déjeuner – Belvita, LU, Mondelez – 600 g e;1839;1.4;22.0;5.6000000000000005;7.8;6.1;7.625;15.0;d;c;54.0;Non;4;https://world.openfoodfacts.org/product/7622210726223/belvita-petit-dejeuner
Pain complet au sarrasin – Gerblé – 300 g;942;0.5;4.2;4.4;7.5;15.0;0.0249999999999986;0.0;a;a;84.0;Non;3;https://world.openfoodfacts.org/product/3175681272903/pain-complet-au-sarrasin-gerble
Céréales Extra Pepites Kellogg's Chocolat au lait – Kellogg's – 800 g;2026;10.0;25.0;2.72;7.0;4.9;0.0;23.0;e;e;15.0;Non;1;https://world.openfoodfacts.org/product/5053827135542/cereales-extra-pepites-kellogg-s-chocolat-au-lait
Harrys brioche tranchee farine complete sans additif 485g – Harrys – 485 g;1411;3.9;15.0;3.72;8.5;7.5;1.379296875;10.0;c;c;53.0;Oui;0;https://world.openfoodfacts.org/product/3228857001330/harrys-brioche-tranchee-farine-complete-sans-additif-485g
Barres céréales FRAISE – Carrefour BIO, Carrefour – 138 g;1502;0.8;21.0;0.28;6.6;10.0;0.0;3.0;c;a;78.0;Oui;2;https://world.openfoodfacts.org/product/3560071269500/barres-cereales-fraise%F0%9F%8D%93-carrefour-bio
Croustillant fruits rouges – Carrefour BIO, Carrefour – 375 g;1792;1.4;19.0;0.04;9.3;9.2;3.5;6.0;c;a;87.0;Oui;0;https://world.openfoodfacts.org/product/3560071407681/croustillant-fruits-rouges-carrefour-bio
Toast crock' céréales complètes – Carrefour – 250 g (2 x 125 g);1515;0.7;3.6;5.2;9.9;13.0;0.0;6.0;c;b;71.0;Non;0;https://world.openfoodfacts.org/product/3560071504090/toast-crock-cereales-completes-carrefour
4 Muffins Complet – Carrefour – 250 g;1025;0.3;5.5;2.92;11.0;6.7;0.809151785714285;-1.0;a;a;80.0;Non;2;https://world.openfoodfacts.org/product/3245412694516/4-muffins-complet-carrefour
Muesli croustillant chocolat 500 g – Céréco, Terres et Céréales bio – 500 g;917;2.2;9.6;0.12;4.7;3.9;0.0;4.0;c;a;87.0;Oui;0;https://world.openfoodfacts.org/product/3421557501685/muesli-croustillant-chocolat-500-g-cereco
Country crisp bio Chocolat Noir – Jordans – 400 g;1895;4.3;19.1;0.12;8.0;6.0;0.0;11.0;d;c;49.0;Oui;0;https://world.openfoodfacts.org/product/5010477352590/country-crisp-bio-chocolat-noir-jordans
Pipers Anglesey sea salt crisps – Pipers Crisps Pipers – 40 g;2223;3.3;0.5;3.76;5.1;3.5;0.0;12.0;d;b;68.0;Non;0;https://world.openfoodfacts.org/product/5033060100125/pipers-anglesey-sea-salt-crisps-pipers-crisps-pipers
Petits pains grillés au blé complet – Mannapain – 225g;1717;0.9;4.2;4.0;10.0;6.9;14.5166666666667;2.0;b;a;77.0;Non;1;https://world.openfoodfacts.org/product/26095547/petits-pains-grilles-au-ble-complet-mannapain
Gnocchi à poêler – Toque du Chef – 500 g;842;0.3;1.4;4.699999999999999;5.8;2.1;5.66666666666666;5.0;c;a;89.0;Non;0;https://world.openfoodfacts.org/product/4056489363101/gnocchi-a-poeler-toque-du-chef
Muesli croustillant 3 noix – Bio Village, Marque Repère – 500 g;1872;1.8;17.0;0.04;11.0;7.6;9.9;1.0;b;a;87.0;Oui;0;https://world.openfoodfacts.org/product/3564707186315/muesli-croustillant-3-noix-bio-village
HERTA TGM pâte brisée pur beurre 280g – HERTA, Trésor de Grand Mère – 280 g;1538;12.0;2.0;4.4;5.9;1.4;2.875;19.0;e;c;47.0;Non;0;https://world.openfoodfacts.org/product/3154230812678/herta-tgm-pate-brisee-pur-beurre-280g
Boisson avoine BIO 1l – Les Mousquetaires, Regain, Sélection des Mousquetaires – 1000 ml;183;0.2;4.7;0.32;0.5;0.8;0.0;6.0;c;a;85.0;Oui;0;https://world.openfoodfacts.org/product/3250392243517/boisson-avoine-bio-1l-les-mousquetaires
Biscottes aux 6 céréales x36 - 300g – U – 300 g;1663;0.9;5.6;6.4;12.0;6.7;0.0;8.0;c;a;80.0;Non;1;https://world.openfoodfacts.org/product/3256220020527/biscottes-aux-6-cereales-x36-300g-u
NESTLE LION Barres de Céréales 6x25g – Nestlé, Lion – 150 g;1672;5.7;22.5;1.7999999999999998;7.3;6.6;0.0;13.0;d;c;56.0;Non;6;https://world.openfoodfacts.org/product/5900020030405/nestle-lion-barres-de-cereales-6x25g-imp
coquillette – Barilla – 500 g;1466;0.5;3.5;0.04;13.0;8.0;0.0;-5.0;a;a;77.0;Non;0;https://world.openfoodfacts.org/product/8076809532709/integrale-coquillettes-barilla
Crousti' Avoine Superfruits – Bjorg – 500 g;1686;1.9;14.0;0.4;10.0;9.2;1.0875;0.0;a;c;50.0;Oui;1;https://world.openfoodfacts.org/product/3229820800745/crousti-avoine-superfruits-bjorg
Quinoa et boulgour à l'indienne – Céréal bio – 220g;604;0.9;1.3;2.4;5.4;7.5;27.3;-4.0;b;d;38.0;Oui;1;https://world.openfoodfacts.org/product/3175681085398/quinoa-et-boulgour-a-l-indienne-cereal-bio
Biscottes nature – Chabrior, Intermarché – 300 g;1623;0.4;6.9;6.0;11.0;4.8;2.20833333333333;11.0;d;a;98.0;Non;1;https://world.openfoodfacts.org/product/3250390005643/biscottes-nature-chabrior
Pain grillé au blé complet 500g – U – 500 g;1642;0.5;4.4;6.4;11.0;6.8;0.0;8.0;c;a;92.0;Non;1;https://world.openfoodfacts.org/product/3256221979138/pain-grille-au-ble-complet-500g-u
Vico Extra Craquantes – Vico – 400;2190;2.8;0.6;5.2;5.9;4.5;0.0;12.0;d;b;72.0;Non;0;https://world.openfoodfacts.org/product/3336971110170/vico-extra-craquantes
Pain mie sandwich bio* cereales 500g – Bien – 500 g;1298;0.7;5.5;4.8;8.8;4.4;0.0;4.0;c;a;96.0;Oui;1;https://world.openfoodfacts.org/product/3760049794397/pain-mie-sandwich-bio-cereales-500g-bien
Oatly! Bio Hafer/Oat – Oatly – 1l;166;0.1;3.4;0.4;1.1;0.8;0.0;5.0;c;a;81.0;Oui;0;https://world.openfoodfacts.org/product/7394376615894/oatly-bio-hafer-oat
CereAlé – Kinder – 204 g;2093;13.0;27.1;1.932;6.6;3.3;0.0;25.0;e;c;46.0;Non;2;https://world.openfoodfacts.org/product/8000500329474/cereale-kinder
Muesli bio noix & graines – Jordans – 500 g;1788;2.3;6.3;0.12;13.6;8.7;18.75;-2.0;a;a;86.0;Oui;0;https://world.openfoodfacts.org/product/5010477357335/muesli-bio-noix-graines-jordans
Forme & nature 440g – Chabrior – 440 g;1633;0.4;13.0;3.08;8.3;4.8;0.0;5.0;c;d;30.0;Non;0;https://world.openfoodfacts.org/product/3250392727109/forme-nature-440g-chabrior
Barres Céréales Graines et Amandes – Carrefour BIO, Carrefour – 100 g (4 x 25 g);2227;4.6;10.0;0.12;20.0;13.0;36.0;7.0;c;c;57.0;Oui;1;https://world.openfoodfacts.org/product/3560071403096/barres-cereales-graines-et-amandes-carrefour-bio
Céréales Granola Noix & Graines 350G – U – 350 g;1902;2.0;13.0;0.04;13.0;7.7;11.0;-1.0;a;b;62.0;Non;1;https://world.openfoodfacts.org/product/3256229255630/cereales-granola-noix-graines-350g-u
Chips saveur Tartiflette – Brets – 125g;2177;2.6;0.9;5.6000000000000005;6.3;4.8;0.0;12.0;d;a;79.0;Non;0;https://world.openfoodfacts.org/product/3497917003380/chips-saveur-tartiflette-brets
Copos de Avena – Brüggen – 800 g;1580;1.3;0.7;0.08;14.0;10.0;0.0;-5.0;a;b;66.0;Non;0;https://world.openfoodfacts.org/product/4008713713411/copos-de-avena-bruggen
Ravioli boeuf – Lustucru, Lustucru selection – 300 g;1111;2.0;3.8;4.0;9.0;2.4;15.15;6.0;c;e;16.0;Non;0;https://world.openfoodfacts.org/product/3240930116120/ravioli-boeuf-lustucru
Tartines craquantes quinoa pois chiche – Jardin bio – 150 g;1585;0.2;0.8;2.28;9.5;3.8;0.0;2.0;b;a;95.0;Oui;0;https://world.openfoodfacts.org/product/3456300008999/tartines-craquantes-quinoa-pois-chiche-jardin-bio
Chips de pommes de terre à l'Ancienne au sel de Guérande – Bret's – 250 g e;2312;3.0;0.5;5.2;5.9;5.5;0.0;11.0;d;a;82.0;Non;0;https://world.openfoodfacts.org/product/3497911219251/chips-nature-ancienne-bret-s
Pan tostado cereales y semillas – Hacendado – 550 g;1772;1.5;3.8;7.199999999999999;16.0;7.8;0.0;10.0;c;a;76.0;Non;3;https://world.openfoodfacts.org/product/8480000822901/pan-tostado-cereales-y-semillas-hacendado
Polenta – Tipiak – 400 g;1507;0.1;0.8;0.0;6.3;2.0;0.0;2.0;b;b;73.0;Non;0;https://world.openfoodfacts.org/product/3600900021890/polenta-tipiak
Quaker Muesli Croustillant Myrtilles & baies de goji – Muesli Croustillant, Quaker – 500 g;1684;1.2;14.0;1.04;11.0;14.0;3.7;1.0;b;b;67.0;Non;3;https://world.openfoodfacts.org/product/3168930009801/quaker-muesli-croustillant-myrtilles-baies-de-goji
La classique nature – Intersnack France, Vico – 135 g;2154;2.9;0.59;3.68;5.7;4.3;0.0;10.0;c;a;82.0;Non;0;https://world.openfoodfacts.org/product/3336971209164/la-classique-nature-intersnack-france
Pain au seigle complet – Marque Repère, épi d'or – 500 g;818;0.2;3.0;5.2;5.1;11.0;0.0;1.0;b;a;82.0;Non;0;https://world.openfoodfacts.org/product/3564700743959/pain-au-seigle-complet-marque-repere
Fruit 'n Fibre Cereal – Kellogg's – 375g;1604;3.5;24.0;4.0;8.0;9.0;26.0;12.0;d;e;25.0;Non;0;https://world.openfoodfacts.org/product/5000127079502/fruit-n-fibre-kellogg-s
Muesli avoine chocolat – Bjorg – 750 g;1679;4.2;9.1;0.32;11.0;9.5;0.0;6.0;c;a;87.0;Oui;1;https://world.openfoodfacts.org/product/3229820800844/muesli-avoine-chocolat-bjorg
Lightly sea salted hand cooked crisps – M&S – 150 g;2172;3.0;0.4;4.0;5.7;4.1;0.0;11.0;d;b;73.0;Non;0;https://world.openfoodfacts.org/product/00722803/lightly-sea-salted-hand-cooked-crisps-m-s
Corn flakes sans sucres ajoutés – Terres et Céréales bio – 450 g;1643;0.1;0.5;0.04;7.0;3.1;0.0;1.0;b;c;50.0;Oui;0;https://world.openfoodfacts.org/product/3421557910494/corn-flakes-sans-sucres-ajoutes-terres-et-cereales-bio
Pain de mie seigle et céréales – Marque Repère, Epi d'Or – 800 g;1078;0.6;4.0;4.8;9.4;4.8;0.09;4.0;c;a;76.0;Non;3;https://world.openfoodfacts.org/product/3564700883563/pain-de-mie-seigle-et-cereales-marque-repere
Céréales croc'choc – Lucien Georgelin – 375 g e;1838;5.0;32.0;1.44;7.5;4.5;6.4;17.0;d;e;28.0;Non;3;https://world.openfoodfacts.org/product/3572420000405/cereales-croc-choc-lucien-georgelin
Flocons d'avoine, paquet 500g – U, U Bio – 500 g;1533;0.6;1.2;0.04;14.0;11.0;0.0;-6.0;a;a;86.0;Oui;0;https://world.openfoodfacts.org/product/3256228686619/flocons-d-avoine-paquet-500g-u
HERTA TARTE EN OR Pâte Feuilletée -30% M.G 230g – HERTA, Tarte en or – 230 g;1443;7.1;1.7;4.0;7.4;1.8;5.96875;15.0;d;c;47.0;Non;0;https://world.openfoodfacts.org/product/3154230600305/herta-tarte-en-or-pate-feuilletee-30-m-g-230g
Brioche tressée nature allegée en sucres sans additifs 450g – Harrys – 450 g;1470;1.2;10.0;3.28;8.7;7.0;4.7685546875;7.0;c;c;50.0;Non;0;https://world.openfoodfacts.org/product/3228857002313/brioche-tressee-nature-allegee-en-sucres-sans-additifs-450g-harrys
Biscottes goût brioché - Les gourmands Pelletier – Pelletier – 260 g;727;3.5;4.8;1.44;4.8;1.3;0.0;6.0;c;a;87.0;Non;2;https://world.openfoodfacts.org/product/3017760719490/biscottes-gout-brioche-les-gourmands-pelletier
Couscous Grain Moyen – Ferrero – 500 g;1546;0.4;3.0;0.08;12.0;3.4;0.0;-1.0;a;b;69.0;Non;0;https://world.openfoodfacts.org/product/3223920700127/couscous-grain-moyen-ferrero
Chips Nature l’Originale Nutriscore B – Brets – 125 g;2250;2.8;0.5;2.4;5.9;5.2;0.0;6.0;c;a;79.0;Non;0;https://world.openfoodfacts.org/product/3497917001874/chips-nature-l-originale-nutriscore-b-brets
Galette de maïs – Bio Village, Marque Repère – 130 g;1670;0.2;0.5;1.4;8.2;1.6;0.0;2.0;b;a;78.0;Oui;0;https://world.openfoodfacts.org/product/3564707102056/galette-de-mais-bio-village
Barres de Céréales Special K Chocolat au Lait – Kellogg's, Special K – 120 g (6 x 20 g);1630;5.1;25.0;2.4;7.0;14.0;0.0763888888888893;13.0;d;d;34.0;Non;6;https://world.openfoodfacts.org/product/5050083425691/barres-de-cereales-special-k-chocolat-au-lait-kellogg-s
Pringles Hot & Spicy – Pringles – 165 g;2112;3.4;3.0;6.4;4.4;2.8;2.70930203527531e-06;16.0;d;b;72.0;Non;10;https://world.openfoodfacts.org/product/5053990127665/pringles-hot-spicy
Maizena Fleur de Maïs – Maizena, Maïzena, Unilever – 700 g;1487;0.1;0.5;0.04;0.5;1.0;0.0;4.0;c;a;88.0;Non;0;https://world.openfoodfacts.org/product/8712100338724/maizena-fleur-de-mais
LION BIO Céréales 400g – Nestlé, Lion, Lion bio – 400 g;1734;1.2;25.0;1.64;8.1;7.9;0.0;10.0;c;c;58.0;Oui;1;https://world.openfoodfacts.org/product/7613037059281/nestle-lion-cereal-organic-400g-14-2oz
Croustillant tout chocolat – Carrefour BIO,Carrefour – 375 g;1873;6.1;20.0;0.08;9.4;8.4;0.0;11.0;d;c;50.0;Oui;0;https://world.openfoodfacts.org/product/3560071407711/croustillant-tout-chocolat-carrefour-bio
Pain de mie grandes tranches Maïs & Graines 500g – La Boulangère – 500 g;1138;0.8;2.1;3.76;13.0;4.1;4.3;1.0;b;a;75.0;Non;2;https://world.openfoodfacts.org/product/3760049791174/pain-de-mie-grandes-tranches-mais-graines-500g-la-boulangere
Muesli floconneux 25% de fruits et noix – U, U Bio – 500 g;1484;0.8;16.0;0.04;11.0;9.0;25.0;-1.0;a;a;86.0;Oui;0;https://world.openfoodfacts.org/product/3256220368339/muesli-floconneux-25-de-fruits-et-noix-u
Chips A L'ancienne Sel de Guérande Brets – Altho, brets – 125g;2312;3.0;0.5;5.2;5.9;5.5;0.0;11.0;d;a;82.0;Non;0;https://world.openfoodfacts.org/product/3497911219121/chips-a-l-ancienne-sel-de-guerande-brets-altho
Corn flakes – Bio Village – 375gr;1590;0.2;1.9;3.4000000000000004;7.2;3.4;0.0;5.0;c;c;49.0;Oui;1;https://world.openfoodfacts.org/product/3564707115926/corn-flakes-bio-village
Pain campagnard aux graines – Schär – 100 gram;1137;0.7;4.2;6.0;4.5;8.5;0.0;6.0;c;b;70.0;Non;1;https://world.openfoodfacts.org/product/8008698022214/pain-campagnard-aux-graines-schar
Grainéa Muesli pépites croustillantes chocolat noir – Marque Repère, Grainéa – 500g;1905;4.1;22.0;0.52;9.6;8.3;0.0;10.0;c;b;66.0;Non;5;https://world.openfoodfacts.org/product/3564706612785/grainea-muesli-pepites-croustillantes-chocolat-noir-marque-repere
Barre Céréales CHOCOLAT – Carrefour BIO, Carrefour – 138 g (6 x 23 g);1709;3.4;33.0;0.12;5.1;3.3;0.0;16.0;d;b;60.0;Oui;1;https://world.openfoodfacts.org/product/3560071269494/barre-cereale-chocolat-%F0%9F%8D%AB-carrefour-bio
Patatas Light – Hacendado – 150 g;1942;2.1;2.8;10.8;4.4;2.8;0.0;20.0;e;b;68.0;Non;0;https://world.openfoodfacts.org/product/8480000158109/patatas-light-hacendado
HERTA TARTE EN OR Pâte Brisée sans huile de palme 230g – HERTA, Tarte en or – 230 g;1456;5.9;2.1;3.28;6.2;5.5;3.36;10.0;c;c;56.0;Non;0;https://world.openfoodfacts.org/product/3154230805922/herta-tarte-en-or-pate-brisee-sans-huile-de-palme-230g
Céréales Muesli chocolat & amandes, 400g – U – 400 g;1883;2.8;6.8;0.04;12.0;8.5;4.0;-1.0;a;b;67.0;Non;3;https://world.openfoodfacts.org/product/3256229255654/cereales-muesli-chocolat-amandes-400g-u
